Track Name,Artist Name(s),Decade,Duration (ms),Popularity,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Liveness,Valence,Tempo,Time Signature
Work,Gang Starr,90,177666,66,0.787,0.832,10,-4.671,0.301,0.0347,0.0593,0.814,92.606,4
I Wish,Skee-Lo,90,249293,65,0.669,0.809,7,-7.146,0.147,0.00137,0.38,0.572,97.885,4
Lost Ones,Ms. Lauryn Hill,90,333906,60,0.832,0.749,2,-6.129,0.37,0.0998,0.0837,0.65,94.899,4
Runnin',The Pharcyde,90,296266,64,0.754,0.785,10,-8.178,0.18,0.0287,0.319,0.821,94.123,4
Let's Ride,Q-Tip,90,246493,55,0.775,0.795,5,-4.171,0.206,0.148,0.0411,0.796,95.212,4
In Baltimore,K-Mack,90,262704,47,0.538,0.9,1,-4.719,0.434,0.0946,0.282,0.74,177.949,4
Crooklyn - Crooklyn/Soundtrack Version,"Crooklyn Dodgers,Buck Shot,Special Ed,Master Ace",90,273453,48,0.842,0.478,2,-9.742,0.221,0.0234,0.892,0.595,95.457,4
Alwayz Into Somethin',N.W.A.,90,264960,59,0.709,0.874,7,-4.522,0.193,0.0114,0.213,0.832,88.546,4
Next Level - Nyte Time Mix,Showbiz & A.G.,90,249933,54,0.87,0.498,11,-12.095,0.29,0.000671,0.0551,0.489,92.887,4
Scenario - LP Mix,A Tribe Called Quest,90,250133,59,0.795,0.6,2,-14.004,0.341,0.112,0.111,0.633,101.78,4
What U See Is What U Get,Xzibit,90,308906,51,0.724,0.806,1,-6.843,0.295,0.0541,0.314,0.586,93.863,4
"Wu-Tang Clan Ain't Nuthing ta F' Wit (feat. RZA, Inspectah Deck & Method Man)","Wu-Tang Clan,RZA,Inspectah Deck,Method Man",90,216133,65,0.826,0.566,10,-10.747,0.311,0.199,0.356,0.655,99.131,4
Simon Says,Pharoahe Monch,90,173159,64,0.664,0.916,1,-3.888,0.473,0.17,0.164,0.559,93.134,4
Drop,The Pharcyde,90,334466,55,0.853,0.754,10,-7.158,0.259,0.335,0.252,0.69,95.081,4
DWYCK,"Gang Starr,Nice & Smooth",90,243266,52,0.911,0.614,7,-11.176,0.338,0.00432,0.0985,0.601,99.025,4
A Milli,Lil Wayne,00,221840,69,0.674,0.695,6,-8.636,0.278,0.0387,0.194,0.773,151.486,4
Izzo (H.O.V.A.),JAY-Z,00,240626,62,0.618,0.844,1,-4.051,0.342,0.0178,0.0634,0.697,84.411,4
Gold Digger,"Kanye West,Jamie Foxx",00,207626,79,0.629,0.696,1,-5.572,0.348,0.0195,0.0554,0.623,93.034,4
Lose Yourself - From 8 Mile Soundtrack,Eminem,00,320293,58,0.684,0.735,2,-4.596,0.273,0.00925,0.288,0.06,171.383,4
In Da Club,50 Cent,00,193466,75,0.902,0.72,6,-2.776,0.347,0.26,0.0749,0.805,90.059,4
What You Know,T.I.,00,274333,65,0.551,0.81,11,-4.365,0.0344,0.0155,0.169,0.332,73.464,4
Hot In Herre,Nelly,00,228240,75,0.956,0.745,11,-4.753,0.12,0.206,0.0615,0.912,107.075,4
Southern Hospitality (Featuring Pharrell),"Ludacris,Pharrell Williams",00,300933,55,0.623,0.896,0,-4.719,0.247,0.035,0.0941,0.613,95.158,4
Flashing Lights,"Kanye West,Dwele",00,237506,84,0.639,0.628,6,-7.578,0.0399,0.0381,0.386,0.43,90.482,4
Selfish,"Slum Village,John Legend,Kanye West",00,225400,60,0.71,0.597,7,-6.468,0.239,0.221,0.432,0.49,95.769,4
Down And Out,"Cam’ron,Kanye West,Syleena Johnson",00,248626,60,0.74,0.841,6,-2.891,0.237,0.0232,0.111,0.673,83.007,4
Hustler Musik,Lil Wayne,00,303666,59,0.661,0.746,8,-2.223,0.25,0.362,0.454,0.678,83.935,4
Lemonade,Gucci Mane,00,246013,58,0.741,0.658,7,-7.758,0.0853,0.643,0.307,0.746,142.057,4
Int'l Players Anthem (I Choose You) (feat. Outkast),"UGK,Outkast",00,259040,65,0.675,0.68,4,-5.01,0.256,0.0655,0.354,0.845,155.698,4
Through The Wire,Kanye West,00,221226,74,0.571,0.739,7,-6.11,0.247,0.00865,0.158,0.66,83.089,4
We Gonna Make It,"Jadakiss,Styles P",00,213826,53,0.514,0.961,2,-3.726,0.347,0.178,0.146,0.686,87.211,4
Hate It Or Love It,"The Game,50 Cent",00,206400,83,0.802,0.785,9,-4.781,0.207,0.14,0.123,0.435,99.998,4
I'm Ready,The Diplomats,00,281573,48,0.368,0.909,1,-2.695,0.235,0.0242,0.337,0.627,166.645,4
Good Times,Styles P,00,211493,63,0.697,0.761,11,-7.647,0.302,0.157,0.789,0.666,81.728,4
What We Do,"Freeway,JAY-Z,Beanie Sigel",00,229106,55,0.569,0.894,9,-4.931,0.318,0.00715,0.158,0.293,188.892,4
Can't Tell Me Nothing,Kanye West,00,271600,77,0.596,0.62,5,-6.133,0.039,0.0122,0.82,0.102,80.029,4
Best I Ever Had,Drake,00,257690,77,0.395,0.922,1,-2.176,0.375,0.19,0.134,0.558,162.361,4
"So Fresh, So Clean",Outkast,00,240026,72,0.725,0.64,5,-7.905,0.332,0.0281,0.099,0.915,166.028,3
21 Questions,"50 Cent,Nate Dogg",00,224426,72,0.576,0.807,6,-3.908,0.317,0.353,0.0512,0.908,90.012,4
